setting,state,up,down,left,right,best_action
baseline,"(0, 0)",-0.20,-0.22,-0.20,0.13,RIGHT
baseline,"(0, 1)",-0.10,-0.10,0.00,7.61,RIGHT
baseline,"(0, 2)",2.17,5.22,3.78,9.00,RIGHT
baseline,"(0, 3)",0.00,0.00,0.00,0.00,UP
baseline,"(0, 4)",0.54,-0.11,7.91,-0.10,LEFT
baseline,"(1, 0)",-0.50,-0.46,-0.50,-0.46,DOWN
baseline,"(1, 1)",4.10,-0.34,-0.32,-0.27,UP
baseline,"(1, 2)",8.00,4.85,0.88,-8.48,UP
baseline,"(1, 3)",0.00,0.00,0.00,0.00,UP
baseline,"(1, 4)",4.58,-0.36,-1.10,-0.20,UP
baseline,"(2, 0)",-0.82,-0.83,-0.80,-0.34,RIGHT
baseline,"(2, 1)",-0.38,-0.69,-0.72,5.06,RIGHT
baseline,"(2, 2)",7.00,4.09,2.15,0.73,UP
baseline,"(2, 3)",-2.09,-0.69,3.92,-0.78,LEFT
baseline,"(2, 4)",1.35,-0.69,-0.71,-0.76,UP
baseline,"(3, 0)",-1.19,-1.29,-1.20,1.96,RIGHT
baseline,"(3, 1)",0.02,0.07,-0.71,5.00,RIGHT
baseline,"(3, 2)",6.00,1.94,1.71,-0.09,UP
baseline,"(3, 3)",-1.08,-1.18,3.04,-1.15,LEFT
baseline,"(3, 4)",-0.80,-1.33,-1.31,-1.29,UP
baseline,"(4, 0)",-1.44,-0.83,-1.39,3.00,RIGHT
baseline,"(4, 1)",4.00,0.85,-0.88,1.10,UP
baseline,"(4, 2)",5.00,0.85,0.64,0.12,UP
baseline,"(4, 3)",-1.12,-0.15,4.00,-0.56,LEFT
baseline,"(4, 4)",-1.99,-0.78,3.00,-0.61,LEFT
more_exploration,"(0, 0)",-0.58,-0.52,-0.40,1.93,RIGHT
more_exploration,"(0, 1)",2.58,3.06,-0.43,7.98,RIGHT
more_exploration,"(0, 2)",7.96,6.96,6.83,9.00,RIGHT
more_exploration,"(0, 3)",0.00,0.00,0.00,0.00,UP
more_exploration,"(0, 4)",1.27,1.05,8.89,0.00,LEFT
more_exploration,"(1, 0)",-0.63,-0.69,-0.70,2.55,RIGHT
more_exploration,"(1, 1)",4.45,1.74,-0.08,7.00,RIGHT
more_exploration,"(1, 2)",8.00,5.95,5.98,-10.97,UP
more_exploration,"(1, 3)",0.00,0.00,0.00,0.00,UP
more_exploration,"(1, 4)",7.47,0.03,-2.98,-0.29,UP
more_exploration,"(2, 0)",-1.01,-1.05,-1.10,4.40,RIGHT
more_exploration,"(2, 1)",6.00,1.21,0.30,4.03,UP
more_exploration,"(2, 2)",7.00,4.94,4.89,4.83,UP
more_exploration,"(2, 3)",-5.74,0.57,5.99,0.64,LEFT
more_exploration,"(2, 4)",5.53,-0.37,0.37,-0.33,UP
more_exploration,"(3, 0)",1.51,-1.69,-1.54,-1.07,UP
more_exploration,"(3, 1)",4.99,0.50,-1.11,0.92,UP
more_exploration,"(3, 2)",6.00,3.95,3.86,3.87,UP
more_exploration,"(3, 3)",3.86,2.86,5.00,0.23,LEFT
more_exploration,"(3, 4)",3.34,-0.84,0.22,-1.29,UP
more_exploration,"(4, 0)",-1.45,-0.09,-0.28,3.00,RIGHT
more_exploration,"(4, 1)",3.34,2.48,1.67,4.00,RIGHT
more_exploration,"(4, 2)",5.00,3.74,2.86,2.89,UP
more_exploration,"(4, 3)",4.00,2.25,3.71,1.16,UP
more_exploration,"(4, 4)",-0.17,0.00,3.00,0.49,LEFT
optimistic_init,"(0, 0)",4.70,4.67,4.70,4.79,RIGHT
optimistic_init,"(0, 1)",4.90,4.90,4.90,10.95,RIGHT
optimistic_init,"(0, 2)",8.60,10.40,7.30,14.00,RIGHT
optimistic_init,"(0, 3)",5.00,5.00,5.00,5.00,UP
optimistic_init,"(0, 4)",4.90,4.90,11.18,4.90,LEFT
optimistic_init,"(1, 0)",4.47,4.54,4.50,4.52,DOWN
optimistic_init,"(1, 1)",4.76,4.66,4.67,10.14,RIGHT
optimistic_init,"(1, 2)",13.00,9.45,6.77,-3.48,UP
optimistic_init,"(1, 3)",5.00,5.00,5.00,5.00,UP
optimistic_init,"(1, 4)",7.01,4.77,3.90,4.80,UP
optimistic_init,"(2, 0)",4.18,4.05,4.10,4.68,RIGHT
optimistic_init,"(2, 1)",4.41,4.32,4.27,10.02,RIGHT
optimistic_init,"(2, 2)",12.00,8.88,7.23,5.38,UP
optimistic_init,"(2, 3)",3.90,4.32,8.96,4.32,LEFT
optimistic_init,"(2, 4)",4.69,4.30,4.29,4.31,UP
optimistic_init,"(3, 0)",3.60,3.54,3.60,4.25,RIGHT
optimistic_init,"(3, 1)",3.94,3.72,3.75,8.87,RIGHT
optimistic_init,"(3, 2)",11.00,6.66,5.38,6.65,UP
optimistic_init,"(3, 3)",4.71,5.02,10.00,5.26,LEFT
optimistic_init,"(3, 4)",3.75,4.26,9.00,4.48,LEFT
optimistic_init,"(4, 0)",2.97,3.76,3.40,8.00,RIGHT
optimistic_init,"(4, 1)",4.53,5.80,4.04,9.00,RIGHT
optimistic_init,"(4, 2)",10.00,6.43,6.14,5.44,UP
optimistic_init,"(4, 3)",9.00,4.35,5.01,4.00,UP
optimistic_init,"(4, 4)",8.00,4.77,3.14,4.44,UP
